pathogen,resistance,criteria,model type
"Trueperella pyogenes","ARO:3003395","perfect_strict","protein variant model"
"Salmonella enterica","ARO:3003107","perfect","protein homolog model"
"Salmonella enterica","ARO:3003107","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3003107","perfect","protein homolog model"
"Escherichia coli","ARO:3003107","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3003107","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3003107","perfect_strict","protein homolog model"
"Proteus mirabilis","ARO:3003107","perfect_strict","protein homolog model"
"Shigella sonnei","ARO:3003107","perfect","protein homolog model"
"Shigella sonnei","ARO:3003107","perfect_strict","protein homolog model"
"Pasteurella multocida","ARO:3003107","perfect","protein homolog model"
"Pasteurella multocida","ARO:3003107","perfect_strict","protein homolog model"
"Shigella flexneri","ARO:3003107","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3003107","perfect_strict","protein homolog model"
"Enterobacter asburiae","ARO:3003107","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3003107","perfect_strict","protein homolog model"
"Citrobacter werkmanii","ARO:3003107","perfect","protein homolog model"
"Citrobacter werkmanii","ARO:3003107","perfect_strict","protein homolog model"
"Yersinia enterocolitica","ARO:3003107","perfect_strict","protein homolog model"
"Shigella boydii","ARO:3003107","perfect","protein homolog model"
"Shigella boydii","ARO:3003107","perfect_strict","protein homolog model"
"Acinetobacter indicus","ARO:3003107","perfect_strict","protein homolog model"
"Escherichia albertii","ARO:3003107","perfect_strict","protein homolog model"
"Escherichia fergusonii","ARO:3003107","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3003107","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001352","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3001352","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3000251","perfect_strict","protein homolog model"
"Staphylococcus aureus","ARO:3000251","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3000251","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3000251","perfect_strict","protein homolog model"
"Listeria monocytogenes","ARO:3000251","perfect_strict","protein homolog model"
"Staphylococcus haemolyticus","ARO:3000251","perfect_strict","protein homolog model"
"Bacillus subtilis","ARO:3000251","perfect_strict","protein homolog model"
"Staphylococcus epidermidis","ARO:3000251","perfect_strict","protein homolog model"
"Streptococcus suis","ARO:3000251","perfect_strict","protein homolog model"
"Staphylococcus hominis","ARO:3000251","perfect_strict","protein homolog model"
"Moraxella osloensis","ARO:3000251","perfect_strict","protein homolog model"
"Staphylococcus pasteuri","ARO:3000251","perfect_strict","protein homolog model"
"Staphylococcus saprophyticus","ARO:3000251","perfect_strict","protein homolog model"
"Vibrio parahaemolyticus","ARO:3003151","perfect","protein homolog model"
"Vibrio parahaemolyticus","ARO:3003151","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001890","perfect_strict","protein homolog model"
"Stenotrophomonas maltophilia","ARO:3001890","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3001890","perfect_strict","protein homolog model"
"Mycobacterium tuberculosis","ARO:3003461","perfect_strict","protein variant model"
"Escherichia coli","ARO:3000448","perfect_strict","protein homolog model"
"Shigella flexneri","ARO:3000448","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3002144","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002144","perfect_strict","protein homolog model"
"Morganella morganii","ARO:3002144","perfect","protein homolog model"
"Morganella morganii","ARO:3002144","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001357","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001357","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002760","perfect_strict","protein homolog model"
"Providencia rettgeri","ARO:3002271","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3002271","perfect","protein homolog model"
"Salmonella enterica","ARO:3002271","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002271","perfect","protein homolog model"
"Escherichia coli","ARO:3002271","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002271","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3002271","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002271","perfect","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002271","perfect_strict","protein homolog model"
"Serratia marcescens","ARO:3002271","perfect","protein homolog model"
"Serratia marcescens","ARO:3002271","perfect_strict","protein homolog model"
"Klebsiella oxytoca","ARO:3002271","perfect","protein homolog model"
"Klebsiella oxytoca","ARO:3002271","perfect_strict","protein homolog model"
"Pseudomonas putida","ARO:3002271","perfect","protein homolog model"
"Pseudomonas putida","ARO:3002271","perfect_strict","protein homolog model"
"Enterobacter cloacae","ARO:3002271","perfect","protein homolog model"
"Enterobacter cloacae","ARO:3002271","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3002271","perfect","protein homolog model"
"Citrobacter freundii","ARO:3002271","perfect_strict","protein homolog model"
"Enterobacter asburiae","ARO:3002271","perfect","protein homolog model"
"Enterobacter asburiae","ARO:3002271","perfect_strict","protein homolog model"
"Providencia rettgeri","ARO:3002271","perfect","protein homolog model"
"Providencia stuartii","ARO:3002271","perfect","protein homolog model"
"Providencia stuartii","ARO:3002271","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3002271","perfect","protein homolog model"
"Enterobacter hormaechei","ARO:3002271","perfect_strict","protein homolog model"
"Enterobacter kobei","ARO:3002271","perfect","protein homolog model"
"Enterobacter kobei","ARO:3002271","perfect_strict","protein homolog model"
"Citrobacter youngae","ARO:3002271","perfect_strict","protein homolog model"
"Raoultella planticola","ARO:3002271","perfect","protein homolog model"
"Raoultella planticola","ARO:3002271","perfect_strict","protein homolog model"
"Citrobacter portucalensis","ARO:3002271","perfect","protein homolog model"
"Citrobacter portucalensis","ARO:3002271","perfect_strict","protein homolog model"
"Enterobacter roggenkampii","ARO:3002271","perfect","protein homolog model"
"Enterobacter roggenkampii","ARO:3002271","perfect_strict","protein homolog model"
"Klebsiella michiganensis","ARO:3002271","perfect","protein homolog model"
"Klebsiella michiganensis","ARO:3002271","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3002271","perfect","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3002271","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3001802","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3001802","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000819","perfect_strict","protein overexpression model"
"Klebsiella pneumoniae","ARO:3000819","perfect_strict","protein overexpression model"
"Pseudomonas aeruginosa","ARO:3000819","perfect_strict","protein overexpression model"
"Pseudomonas fluorescens","ARO:3000819","perfect_strict","protein overexpression model"
"Stenotrophomonas maltophilia","ARO:3000819","perfect_strict","protein overexpression model"
"Klebsiella pneumoniae","ARO:3001340","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3001340","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001451","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3001451","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3003157","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3003157","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3003157","perfect_strict","protein homolog model"
"Streptococcus pneumoniae","ARO:3003157","perfect_strict","protein homolog model"
"Escherichia fergusonii","ARO:3003157","perfect_strict","protein homolog model"
"Enterococcus faecium","ARO:3002929","perfect","protein homolog model"
"Enterococcus faecium","ARO:3002929","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001670","perfect","protein homolog model"
"Acinetobacter baumannii","ARO:3001670","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3000149","perfect","protein homolog model"
"Pseudomonas aeruginosa","ARO:3000149","perfect_strict","protein homolog model"
"Pseudomonas putida","ARO:3000149","perfect_strict","protein homolog model"
"Pseudomonas fluorescens","ARO:3000149","perfect_strict","protein homolog model"
"Stenotrophomonas maltophilia","ARO:3000149","perfect_strict","protein homolog model"
"Pseudomonas syringae","ARO:3000149","perfect_strict","protein homolog model"
"Pseudomonas chlororaphis","ARO:3000149","perfect_strict","protein homolog model"
"Pseudomonas koreensis","ARO:3000149","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3001043","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3000778","perfect","protein homolog model"
"Acinetobacter baumannii","ARO:3000778","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3000778","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000778","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3000778","perfect_strict","protein homolog model"
"Enterococcus faecium","ARO:3000778","perfect_strict","protein homolog model"
"Acinetobacter pittii","ARO:3000778","perfect_strict","protein homolog model"
"Acinetobacter nosocomialis","ARO:3000778","perfect_strict","protein homolog model"
"Stenotrophomonas maltophilia","ARO:3000778","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3002602","perfect","protein homolog model"
"Acinetobacter baumannii","ARO:3002602","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3002602","perfect","protein homolog model"
"Salmonella enterica","ARO:3002602","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002602","perfect","protein homolog model"
"Escherichia coli","ARO:3002602","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002602","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3002602","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002602","perfect","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002602","perfect_strict","protein homolog model"
"Klebsiella aerogenes","ARO:3002602","perfect","protein homolog model"
"Klebsiella aerogenes","ARO:3002602","perfect_strict","protein homolog model"
"Proteus mirabilis","ARO:3002602","perfect","protein homolog model"
"Proteus mirabilis","ARO:3002602","perfect_strict","protein homolog model"
"Serratia marcescens","ARO:3002602","perfect_strict","protein homolog model"
"Klebsiella oxytoca","ARO:3002602","perfect","protein homolog model"
"Klebsiella oxytoca","ARO:3002602","perfect_strict","protein homolog model"
"Vibrio cholerae","ARO:3002602","perfect","protein homolog model"
"Vibrio cholerae","ARO:3002602","perfect_strict","protein homolog model"
"Shigella sonnei","ARO:3002602","perfect","protein homolog model"
"Shigella sonnei","ARO:3002602","perfect_strict","protein homolog model"
"Pseudomonas putida","ARO:3002602","perfect","protein homolog model"
"Pseudomonas putida","ARO:3002602","perfect_strict","protein homolog model"
"Shigella dysenteriae","ARO:3002602","perfect","protein homolog model"
"Shigella dysenteriae","ARO:3002602","perfect_strict","protein homolog model"
"Aeromonas hydrophila","ARO:3002602","perfect","protein homolog model"
"Aeromonas hydrophila","ARO:3002602","perfect_strict","protein homolog model"
"Burkholderia cepacia","ARO:3002602","perfect","protein homolog model"
"Burkholderia cepacia","ARO:3002602","perfect_strict","protein homolog model"
"Staphylococcus haemolyticus","ARO:3002602","perfect_strict","protein homolog model"
"Shigella flexneri","ARO:3002602","perfect","protein homolog model"
"Shigella flexneri","ARO:3002602","perfect_strict","protein homolog model"
"Enterobacter cloacae","ARO:3002602","perfect","protein homolog model"
"Enterobacter cloacae","ARO:3002602","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3002602","perfect","protein homolog model"
"Citrobacter freundii","ARO:3002602","perfect_strict","protein homolog model"
"Morganella morganii","ARO:3002602","perfect","protein homolog model"
"Morganella morganii","ARO:3002602","perfect_strict","protein homolog model"
"Enterobacter asburiae","ARO:3002602","perfect","protein homolog model"
"Enterobacter asburiae","ARO:3002602","perfect_strict","protein homolog model"
"Citrobacter koseri","ARO:3002602","perfect","protein homolog model"
"Citrobacter koseri","ARO:3002602","perfect_strict","protein homolog model"
"Aeromonas caviae","ARO:3002602","perfect","protein homolog model"
"Aeromonas caviae","ARO:3002602","perfect_strict","protein homolog model"
"Proteus vulgaris","ARO:3002602","perfect","protein homolog model"
"Proteus vulgaris","ARO:3002602","perfect_strict","protein homolog model"
"Providencia rettgeri","ARO:3002602","perfect","protein homolog model"
"Providencia rettgeri","ARO:3002602","perfect_strict","protein homolog model"
"Providencia stuartii","ARO:3002602","perfect","protein homolog model"
"Providencia stuartii","ARO:3002602","perfect_strict","protein homolog model"
"Stenotrophomonas maltophilia","ARO:3002602","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3002602","perfect","protein homolog model"
"Enterobacter hormaechei","ARO:3002602","perfect_strict","protein homolog model"
"Corynebacterium diphtheriae","ARO:3002602","perfect","protein homolog model"
"Corynebacterium diphtheriae","ARO:3002602","perfect_strict","protein homolog model"
"Citrobacter werkmanii","ARO:3002602","perfect","protein homolog model"
"Citrobacter werkmanii","ARO:3002602","perfect_strict","protein homolog model"
"Vibrio parahaemolyticus","ARO:3002602","perfect","protein homolog model"
"Vibrio parahaemolyticus","ARO:3002602","perfect_strict","protein homolog model"
"Aeromonas veronii","ARO:3002602","perfect","protein homolog model"
"Aeromonas veronii","ARO:3002602","perfect_strict","protein homolog model"
"Enterobacter kobei","ARO:3002602","perfect","protein homolog model"
"Enterobacter kobei","ARO:3002602","perfect_strict","protein homolog model"
"Yersinia enterocolitica","ARO:3002602","perfect","protein homolog model"
"Yersinia enterocolitica","ARO:3002602","perfect_strict","protein homolog model"
"Citrobacter youngae","ARO:3002602","perfect","protein homolog model"
"Citrobacter youngae","ARO:3002602","perfect_strict","protein homolog model"
"Raoultella planticola","ARO:3002602","perfect","protein homolog model"
"Raoultella planticola","ARO:3002602","perfect_strict","protein homolog model"
"Laribacter hongkongensis","ARO:3002602","perfect","protein homolog model"
"Laribacter hongkongensis","ARO:3002602","perfect_strict","protein homolog model"
"Acinetobacter junii","ARO:3002602","perfect","protein homolog model"
"Acinetobacter junii","ARO:3002602","perfect_strict","protein homolog model"
"Shigella boydii","ARO:3002602","perfect","protein homolog model"
"Shigella boydii","ARO:3002602","perfect_strict","protein homolog model"
"Acinetobacter indicus","ARO:3002602","perfect","protein homolog model"
"Acinetobacter indicus","ARO:3002602","perfect_strict","protein homolog model"
"Acinetobacter towneri","ARO:3002602","perfect","protein homolog model"
"Acinetobacter towneri","ARO:3002602","perfect_strict","protein homolog model"
"Bordetella trematum","ARO:3002602","perfect","protein homolog model"
"Bordetella trematum","ARO:3002602","perfect_strict","protein homolog model"
"Citrobacter portucalensis","ARO:3002602","perfect","protein homolog model"
"Citrobacter portucalensis","ARO:3002602","perfect_strict","protein homolog model"
"Comamonas testosteroni","ARO:3002602","perfect","protein homolog model"
"Comamonas testosteroni","ARO:3002602","perfect_strict","protein homolog model"
"Cronobacter sakazakii","ARO:3002602","perfect","protein homolog model"
"Cronobacter sakazakii","ARO:3002602","perfect_strict","protein homolog model"
"Delftia tsuruhatensis","ARO:3002602","perfect","protein homolog model"
"Delftia tsuruhatensis","ARO:3002602","perfect_strict","protein homolog model"
"Enterobacter chengduensis","ARO:3002602","perfect","protein homolog model"
"Enterobacter chengduensis","ARO:3002602","perfect_strict","protein homolog model"
"Enterobacter roggenkampii","ARO:3002602","perfect","protein homolog model"
"Enterobacter roggenkampii","ARO:3002602","perfect_strict","protein homolog model"
"Escherichia albertii","ARO:3002602","perfect","protein homolog model"
"Escherichia albertii","ARO:3002602","perfect_strict","protein homolog model"
"Escherichia fergusonii","ARO:3002602","perfect","protein homolog model"
"Escherichia fergusonii","ARO:3002602","perfect_strict","protein homolog model"
"Klebsiella michiganensis","ARO:3002602","perfect","protein homolog model"
"Klebsiella michiganensis","ARO:3002602","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3002602","perfect","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3002602","perfect_strict","protein homolog model"
"Leclercia adecarboxylata","ARO:3002602","perfect","protein homolog model"
"Leclercia adecarboxylata","ARO:3002602","perfect_strict","protein homolog model"
"Pseudomonas monteilii","ARO:3002602","perfect","protein homolog model"
"Pseudomonas monteilii","ARO:3002602","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3002041","perfect","protein homolog model"
"Acinetobacter baumannii","ARO:3002041","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002041","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3002041","perfect_strict","protein homolog model"
"Providencia rettgeri","ARO:3002041","perfect","protein homolog model"
"Providencia rettgeri","ARO:3002041","perfect_strict","protein homolog model"
"Enterobacter cloacae","ARO:3001869","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3001895","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001895","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3001895","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000616","perfect_strict","protein homolog model"
"Streptococcus pneumoniae","ARO:3000616","perfect","protein homolog model"
"Streptococcus pneumoniae","ARO:3000616","perfect_strict","protein homolog model"
"Streptococcus pyogenes","ARO:3000616","perfect","protein homolog model"
"Streptococcus pyogenes","ARO:3000616","perfect_strict","protein homolog model"
"Enterococcus faecium","ARO:3000616","perfect_strict","protein homolog model"
"Clostridioides difficile","ARO:3000616","perfect_strict","protein homolog model"
"Streptococcus agalactiae","ARO:3000616","perfect_strict","protein homolog model"
"Streptococcus suis","ARO:3000616","perfect_strict","protein homolog model"
"Parabacteroides distasonis","ARO:3000616","perfect_strict","protein homolog model"
"Streptococcus cristatus","ARO:3000616","perfect","protein homolog model"
"Streptococcus cristatus","ARO:3000616","perfect_strict","protein homolog model"
"Campylobacter jejuni","ARO:3000526","perfect","protein homolog model"
"Campylobacter jejuni","ARO:3000526","perfect_strict","protein homolog model"
"Campylobacter coli","ARO:3000526","perfect","protein homolog model"
"Campylobacter coli","ARO:3000526","perfect_strict","protein homolog model"
"Streptococcus pneumoniae","ARO:3000196","perfect_strict","protein homolog model"
"Streptococcus suis","ARO:3000196","perfect","protein homolog model"
"Streptococcus suis","ARO:3000196","perfect_strict","protein homolog model"
"Streptococcus anginosus","ARO:3000196","perfect","protein homolog model"
"Streptococcus anginosus","ARO:3000196","perfect_strict","protein homolog model"
"Streptococcus constellatus","ARO:3000196","perfect_strict","protein homolog model"
"Lachnospiraceae bacterium","ARO:3000196","perfect","protein homolog model"
"Lachnospiraceae bacterium","ARO:3000196","perfect_strict","protein homolog model"
"Collinsella aerofaciens","ARO:3000196","perfect_strict","protein homolog model"
"Eubacterium limosum","ARO:3000196","perfect_strict","protein homolog model"
"Ruthenibacterium lactatiformans","ARO:3000196","perfect","protein homolog model"
"Ruthenibacterium lactatiformans","ARO:3000196","perfect_strict","protein homolog model"
"Enterobacter roggenkampii","ARO:3002178","perfect","protein homolog model"
"Enterobacter roggenkampii","ARO:3002178","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3003676","perfect","protein homolog model"
"Acinetobacter baumannii","ARO:3003676","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3003676","perfect","protein homolog model"
"Salmonella enterica","ARO:3003676","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3003676","perfect","protein homolog model"
"Escherichia coli","ARO:3003676","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3003676","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3003676","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3003676","perfect","protein homolog model"
"Pseudomonas aeruginosa","ARO:3003676","perfect_strict","protein homolog model"
"Enterobacter cloacae","ARO:3003676","perfect_strict","protein homolog model"
"Mycobacteroides abscessus","ARO:3003676","perfect","protein homolog model"
"Mycobacteroides abscessus","ARO:3003676","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3003676","perfect_strict","protein homolog model"
"Providencia rettgeri","ARO:3003676","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3003676","perfect","protein homolog model"
"Enterobacter hormaechei","ARO:3003676","perfect_strict","protein homolog model"
"Aeromonas veronii","ARO:3003676","perfect","protein homolog model"
"Aeromonas veronii","ARO:3003676","perfect_strict","protein homolog model"
"Klebsiella michiganensis","ARO:3003676","perfect","protein homolog model"
"Klebsiella michiganensis","ARO:3003676","perfect_strict","protein homolog model"
"Pseudomonas monteilii","ARO:3003676","perfect","protein homolog model"
"Pseudomonas monteilii","ARO:3003676","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3002064","perfect_strict","protein homolog model"
"Citrobacter portucalensis","ARO:3002064","perfect","protein homolog model"
"Citrobacter portucalensis","ARO:3002064","perfect_strict","protein homolog model"
"Streptococcus pneumoniae","ARO:3003283","perfect_strict","protein variant model"
"Mycobacterium tuberculosis","ARO:3003283","perfect_strict","protein variant model"
"Mycobacterium avium","ARO:3003283","perfect_strict","protein variant model"
"Klebsiella pneumoniae","ARO:3001583","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3001135","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001135","perfect_strict","protein homolog model"
"Bacillus cereus","ARO:3003072","perfect","protein homolog model"
"Bacillus cereus","ARO:3003072","perfect_strict","protein homolog model"
"Bacillus anthracis","ARO:3003072","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001007","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3001007","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001007","perfect_strict","protein homolog model"
"Shigella sonnei","ARO:3001007","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002622","perfect","protein homolog model"
"Escherichia coli","ARO:3002622","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002622","perfect","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002622","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3000316","perfect","protein homolog model"
"Acinetobacter baumannii","ARO:3000316","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3000316","perfect","protein homolog model"
"Salmonella enterica","ARO:3000316","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000316","perfect","protein homolog model"
"Escherichia coli","ARO:3000316","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000316","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3000316","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3000316","perfect_strict","protein homolog model"
"Proteus mirabilis","ARO:3000316","perfect","protein homolog model"
"Proteus mirabilis","ARO:3000316","perfect_strict","protein homolog model"
"Serratia marcescens","ARO:3000316","perfect","protein homolog model"
"Serratia marcescens","ARO:3000316","perfect_strict","protein homolog model"
"Klebsiella oxytoca","ARO:3000316","perfect","protein homolog model"
"Klebsiella oxytoca","ARO:3000316","perfect_strict","protein homolog model"
"Vibrio cholerae","ARO:3000316","perfect","protein homolog model"
"Vibrio cholerae","ARO:3000316","perfect_strict","protein homolog model"
"Shigella sonnei","ARO:3000316","perfect","protein homolog model"
"Shigella sonnei","ARO:3000316","perfect_strict","protein homolog model"
"Pseudomonas putida","ARO:3000316","perfect","protein homolog model"
"Pseudomonas putida","ARO:3000316","perfect_strict","protein homolog model"
"Shigella dysenteriae","ARO:3000316","perfect","protein homolog model"
"Shigella dysenteriae","ARO:3000316","perfect_strict","protein homolog model"
"Aeromonas hydrophila","ARO:3000316","perfect","protein homolog model"
"Aeromonas hydrophila","ARO:3000316","perfect_strict","protein homolog model"
"Shigella flexneri","ARO:3000316","perfect","protein homolog model"
"Shigella flexneri","ARO:3000316","perfect_strict","protein homolog model"
"Enterobacter cloacae","ARO:3000316","perfect","protein homolog model"
"Enterobacter cloacae","ARO:3000316","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3000316","perfect","protein homolog model"
"Citrobacter freundii","ARO:3000316","perfect_strict","protein homolog model"
"Morganella morganii","ARO:3000316","perfect","protein homolog model"
"Morganella morganii","ARO:3000316","perfect_strict","protein homolog model"
"Citrobacter amalonaticus","ARO:3000316","perfect","protein homolog model"
"Citrobacter amalonaticus","ARO:3000316","perfect_strict","protein homolog model"
"Enterobacter asburiae","ARO:3000316","perfect","protein homolog model"
"Enterobacter asburiae","ARO:3000316","perfect_strict","protein homolog model"
"Citrobacter koseri","ARO:3000316","perfect","protein homolog model"
"Citrobacter koseri","ARO:3000316","perfect_strict","protein homolog model"
"Aeromonas caviae","ARO:3000316","perfect","protein homolog model"
"Aeromonas caviae","ARO:3000316","perfect_strict","protein homolog model"
"Providencia rettgeri","ARO:3000316","perfect","protein homolog model"
"Providencia rettgeri","ARO:3000316","perfect_strict","protein homolog model"
"Providencia stuartii","ARO:3000316","perfect","protein homolog model"
"Providencia stuartii","ARO:3000316","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3000316","perfect","protein homolog model"
"Enterobacter hormaechei","ARO:3000316","perfect_strict","protein homolog model"
"Streptococcus suis","ARO:3000316","perfect","protein homolog model"
"Streptococcus suis","ARO:3000316","perfect_strict","protein homolog model"
"Citrobacter werkmanii","ARO:3000316","perfect","protein homolog model"
"Citrobacter werkmanii","ARO:3000316","perfect_strict","protein homolog model"
"Vibrio parahaemolyticus","ARO:3000316","perfect_strict","protein homolog model"
"Aeromonas veronii","ARO:3000316","perfect","protein homolog model"
"Aeromonas veronii","ARO:3000316","perfect_strict","protein homolog model"
"Enterobacter kobei","ARO:3000316","perfect","protein homolog model"
"Enterobacter kobei","ARO:3000316","perfect_strict","protein homolog model"
"Citrobacter youngae","ARO:3000316","perfect","protein homolog model"
"Citrobacter youngae","ARO:3000316","perfect_strict","protein homolog model"
"Raoultella planticola","ARO:3000316","perfect","protein homolog model"
"Raoultella planticola","ARO:3000316","perfect_strict","protein homolog model"
"Alcaligenes faecalis","ARO:3000316","perfect_strict","protein homolog model"
"Shigella boydii","ARO:3000316","perfect","protein homolog model"
"Shigella boydii","ARO:3000316","perfect_strict","protein homolog model"
"Bordetella trematum","ARO:3000316","perfect","protein homolog model"
"Bordetella trematum","ARO:3000316","perfect_strict","protein homolog model"
"Citrobacter portucalensis","ARO:3000316","perfect","protein homolog model"
"Citrobacter portucalensis","ARO:3000316","perfect_strict","protein homolog model"
"Comamonas testosteroni","ARO:3000316","perfect","protein homolog model"
"Comamonas testosteroni","ARO:3000316","perfect_strict","protein homolog model"
"Cronobacter sakazakii","ARO:3000316","perfect","protein homolog model"
"Cronobacter sakazakii","ARO:3000316","perfect_strict","protein homolog model"
"Enterobacter roggenkampii","ARO:3000316","perfect","protein homolog model"
"Enterobacter roggenkampii","ARO:3000316","perfect_strict","protein homolog model"
"Escherichia albertii","ARO:3000316","perfect","protein homolog model"
"Escherichia albertii","ARO:3000316","perfect_strict","protein homolog model"
"Escherichia fergusonii","ARO:3000316","perfect","protein homolog model"
"Escherichia fergusonii","ARO:3000316","perfect_strict","protein homolog model"
"Klebsiella michiganensis","ARO:3000316","perfect","protein homolog model"
"Klebsiella michiganensis","ARO:3000316","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3000316","perfect","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3000316","perfect_strict","protein homolog model"
"Leclercia adecarboxylata","ARO:3000316","perfect","protein homolog model"
"Leclercia adecarboxylata","ARO:3000316","perfect_strict","protein homolog model"
"Shewanella putrefaciens","ARO:3000316","perfect_strict","protein homolog model"
"Klebsiella michiganensis","ARO:3002411","perfect","protein homolog model"
"Klebsiella michiganensis","ARO:3002411","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3000977","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000977","perfect_strict","protein homolog model"
"Mycobacterium tuberculosis","ARO:3002525","perfect","protein homolog model"
"Mycobacterium tuberculosis","ARO:3002525","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3002085","perfect","protein homolog model"
